,ticker,trading_days,days_in_trade,num_trades,num_winning_trades,num_losing_trades,win_pct,return,return per day in trade,annualized return,return_fixed_bet,average_return,std_dev_return
0,ADANIENT,37,37,248,84,59,0.3387096774193548,-0.14426308540947463,-0.003899002308364179,-0.9747505770910448,-0.12086036978687575,-0.00048734020075353126,0.016222620660657213
0,ADANIPORTS,37,37,271,89,66,0.3284132841328413,-0.04917489399790087,-0.001329051189132456,-0.332262797283114,-0.038994988334543845,-0.00014389294588392564,0.00909427511003516
0,APOLLOHOSP,37,37,295,116,72,0.39322033898305087,-0.010695154179685251,-0.00028905822107257433,-0.07226455526814358,-0.009182005639518542,-3.1125442845825566e-05,0.003260020260363958
0,ASIANPAINT,37,37,278,99,66,0.35611510791366907,0.026290694462720143,0.0007105593098032471,0.17763982745081178,0.026972219399940323,9.702237194223138e-05,0.0027040956871896907
0,AXISBANK,37,37,309,126,69,0.4077669902912621,0.15697925812660984,0.004242682652070537,1.0606706630176341,0.14778555150461925,0.00047827039321883254,0.0035380657105314596
0,BAJAJ-AUTO,37,37,276,100,67,0.36231884057971014,0.0040633200548436665,0.00010981946094172072,0.02745486523543018,0.004815761563576548,1.744841146223387e-05,0.0023488405740677773
0,BAJFINANCE,37,37,274,102,62,0.3722627737226277,0.012521218211108964,0.000338411303002945,0.08460282575073624,0.013537841891925972,4.940818208732107e-05,0.002823492483894222
0,BAJAJFINSV,37,37,273,110,61,0.40293040293040294,0.07882184134126846,0.002130320036250499,0.5325800090626247,0.07804136402134365,0.0002858658022759841,0.003952986860799185
0,BPCL,37,37,219,95,49,0.4337899543378995,0.33154515307112153,0.008960679812733014,2.2401699531832535,0.28802508193515264,0.0013151830225349435,0.0037088604879630333
0,BHARTIARTL,37,37,289,111,72,0.38408304498269896,0.09326925867810743,0.0025207907750839846,0.6301976937709961,0.090245090039893,0.00031226674754288237,0.002707157381683934
0,BRITANNIA,37,37,286,107,70,0.3741258741258741,0.023445932249452905,0.0006336738445798083,0.15841846114495206,0.023787919091270315,8.317454227716893e-05,0.002070451001714489
0,CIPLA,37,37,294,104,86,0.35374149659863946,0.1026674289198164,0.002774795376211254,0.6936988440528135,0.0987630609422514,0.0003359287787151408,0.0026275978098573927
0,COALINDIA,37,37,167,70,26,0.41916167664670656,0.35418825900128614,0.009572655648683408,2.393163912170852,0.3048969408799733,0.0018257301849100198,0.004138232702686695
0,DIVISLAB,37,37,301,115,68,0.38205980066445183,-0.0027264307353292994,-7.368731717106215e-05,-0.018421829292765538,-0.0011375574496063079,-3.7792606299212887e-06,0.0032431475741201417
0,DRREDDY,37,37,286,107,68,0.3741258741258741,-0.002163557098933122,-5.847451618738168e-05,-0.01461862904684542,-0.001429854308619305,-4.99949058957799e-06,0.002268843346777478
0,EICHERMOT,37,37,279,101,68,0.36200716845878134,0.0737211982486814,0.0019924648175319295,0.4981162043829824,0.07223136353597104,0.00025889377611459154,0.0028003449100346646
0,GRASIM,37,37,293,115,76,0.3924914675767918,0.051783063562199194,0.001399542258437816,0.349885564609454,0.051802771351650234,0.00017680126741177553,0.0029928890499827353
0,HCLTECH,37,37,298,106,73,0.35570469798657717,0.07688555338987202,0.0020779879294560003,0.5194969823640001,0.07472412962087627,0.00025075211282173245,0.002078230187565099
0,HDFCBANK,37,37,299,122,60,0.4080267558528428,0.14598215671601888,0.003945463695027537,0.9863659237568843,0.13705363734231346,0.00045837336903783765,0.0022580264876165884
